host,port,ProxyHost,ProxyPort
191.209.43.16,5678,host,5678
191.209.43.17,5678,191.209.43.16,5678
191.209.43.18,5678,191.209.43.17,5678
191.209.43.19,5678,191.209.43.18,5678
191.209.43.20,5678,191.209.43.19,5678
191.209.43.21,5678,191.209.43.20,5678
191.209.43.22,5678,191.209.43.21,5678
191.209.43.23,5678,191.209.43.22,5678
191.209.43.24,5678,191.209.43.23,5678
191.209.43.25,5678,191.209.43.24,5678
191.209.43.26,5678,191.209.43.25,5678
191.209.43.27,5678,191.209.43.26,5678
191.209.43.28,5678,191.209.43.27,5678
191.209.43.29,5678,191.209.43.28,5678
191.209.43.30,5678,191.209.43.29,5678
191.209.43.31,5678,191.209.43.30,5678
191.209.43.32,5678,191.209.43.31,5678
191.209.43.33,5678,191.209.43.32,5678
191.209.43.34,5678,191.209.43.33,5678
191.209.43.35,5678,191.209.43.34,5678
191.209.43.36,5678,191.209.43.35,5678
191.209.43.37,5678,191.209.43.36,5678
191.209.43.38,5678,191.209.43.37,5678
191.209.43.39,5678,191.209.43.38,5678
191.209.43.40,5678,191.209.43.39,5678
191.209.43.41,5678,191.209.43.40,5678
191.209.43.42,5678,191.209.43.41,5678
191.209.43.43,5678,191.209.43.42,5678
191.209.43.44,5678,191.209.43.43,5678
191.209.43.45,5678,191.209.43.44,5678
191.209.43.46,5678,191.209.43.45,5678
191.209.43.47,5678,191.209.43.46,5678
191.209.43.48,5678,191.209.43.47,5678
191.209.43.49,5678,191.209.43.48,5678
191.209.43.50,5678,191.209.43.49,5678
191.209.43.51,5678,191.209.43.50,5678
191.209.43.52,5678,191.209.43.51,5678
191.209.43.53,5678,191.209.43.52,5678
191.209.43.54,5678,191.209.43.53,5678
191.209.43.55,5678,191.209.43.54,5678
191.209.43.56,5678,191.209.43.55,5678
191.209.43.57,5678,191.209.43.56,5678
191.209.43.58,5678,191.209.43.57,5678
191.209.43.59,5678,191.209.43.58,5678
191.209.43.60,5678,191.209.43.59,5678
191.209.43.61,5678,191.209.43.60,5678
191.209.43.62,5678,191.209.43.61,5678
191.209.43.63,5678,191.209.43.62,5678
191.209.43.64,5678,191.209.43.63,5678
191.209.43.65,5678,191.209.43.64,5678
191.209.43.66,5678,191.209.43.65,5678
191.209.43.67,5678,191.209.43.66,5678
191.209.43.68,5678,191.209.43.67,5678
191.209.43.69,5678,191.209.43.68,5678
191.209.43.70,5678,191.209.43.69,5678
191.209.43.71,5678,191.209.43.70,5678
191.209.43.72,5678,191.209.43.71,5678
191.209.43.73,5678,191.209.43.72,5678
